review_id	review	created_at	sentiment_score	sentiment_label	relevansi	category	sub_category	reason	is_positive
Ci9DQUlRQUNvZENodHljRjlvT21kcFVuZzJjSFJIWjNCSFNHUjVlbTVOZHpORVYxRRAB	Info loker untuk yang di luar daerah jawa	2026-08-19 15:27:35	3	Netral	True	Harga & Bisnis Perusahaan	Lowongan Kerja & Rekrutmen	Menanyakan ketersediaan lowongan pekerjaan untuk daerah di luar Pulau Jawa.	Positive
Ci9DQUlRQUNvZENodHljRjlvT25sdWFrOWpVVk5UTkVVMlUyRXdiblZQWjJOUlZIYxAB	Kapan ya dealer vinfast ada di Kalsel Banjarmasin	2026-08-19 15:27:35	3	Netral	True	Harga & Bisnis Perusahaan	Perizinan & Keberadaan Pabrik/Perusahaan	Pertanyaan mengenai kapan ekspansi dealer VinFast dibuka di Banjarmasin.	Positive
Ci9DQUlRQUNvZENodHljRjlvT2t4ZmNqaHpWRk5HT0ZKNlFqSkNVVkJNUzJjM1IwRRAB	Info loker nya dong	2026-08-19 15:27:35	3	Netral	True	Harga & Bisnis Perusahaan	Lowongan Kerja & Rekrutmen	Permintaan informasi umum mengenai rekrutmen atau lowongan kerja.	Positive
ChdDSUhNMG9nS0VJQ0FnSURmeFoyOGpBRRAB	Keren Vinfast	2026-08-19 15:27:35	5	Sangat Positif	True	Kualitas Produk & Performa	Desain & Fitur Mobil	Pujian singkat yang menunjukkan impresi sangat positif terhadap brand VinFast.	Positive
Ci9DQUlRQUNvZENodHljRjlvT25FNVVGcEtaa3hPUlZGVVZHTlNhSFpGVkZWTGIzYxAB	Minta link atau web nya dong	2026-08-19 15:27:35	3	Netral	True	Pelayanan & Sales	Proses Pembelian & Dokumen	Permintaan link atau situs web resmi perusahaan.	Positive
Ci9DQUlRQUNvZENodHljRjlvT2pSSkxYSlVaMFV4VEd0NFkwZFlhMDlUWmxaV1RHYxAB	Perusahaan yang luar biasa	2026-08-19 15:27:35	5	Sangat Positif	True	Harga & Bisnis Perusahaan	Perizinan & Keberadaan Pabrik/Perusahaan	Pujian tinggi terhadap reputasi dan profil perusahaan VinFast.	Positive
Ci9DQUlRQUNvZENodHljRjlvT2tveWVHSm9WWGhRU1VacldIQnNPR3RQYUdrdFZtYxAB	Semoga rezeki disini	2026-08-19 15:27:35	4	Positif	True	Harga & Bisnis Perusahaan	Lowongan Kerja & Rekrutmen	Harapan positif dari pencari kerja untuk bisa bekerja di perusahaan.	Positive
Ci9DQUlRQUNvZENodHljRjlvT2xnMVppMDVOMGxmTm1SVE5GcHJNVzEwVEhsak1IYxAB	Bismillah semoga ada rezeki di sini aamiin	2026-08-19 15:27:35	4	Positif	True	Harga & Bisnis Perusahaan	Lowongan Kerja & Rekrutmen	Ungkapan doa dan harapan positif agar diterima bekerja di VinFast.	Positive
Ci9DQUlRQUNvZENodHljRjlvT2tOTmRuSlpSbGhrYlVsVE4xcEpSV2hSZGpsd1dIYxAB	Pabriknya Vinfast apa sdh berdiri ya..	2026-08-19 15:27:35	3	Netral	True	Harga & Bisnis Perusahaan	Perizinan & Keberadaan Pabrik/Perusahaan	Pertanyaan netral mengenai keberadaan dan status pembangunan pabrik VinFast.	Positive
Ci9DQUlRQUNvZENodHljRjlvT21WUlUyYzFVelpxT0ZGS00zaHZXVmxuVTBST09GRRAB	Perusahaan besar automotif	2026-08-19 15:27:35	4	Positif	True	Harga & Bisnis Perusahaan	Perizinan & Keberadaan Pabrik/Perusahaan	Pernyataan positif yang mengakui VinFast sebagai perusahaan otomotif skala besar.	Positive
Ci9DQUlRQUNvZENodHljRjlvT2prNFJHNWhWelYyWkVaS2NrbHlSSFpETTBWSlNtYxAB	Semoga rezeki disini🤲 …	2026-08-19 15:28:00	3	Netral	True	Harga & Bisnis Perusahaan	Lowongan Kerja & Rekrutmen	Ulasan berisi doa/harapan untuk mendapatkan rezeki atau pekerjaan di lokasi tersebut.	Irrelevant
Ci9DQUlRQUNvZENodHljRjlvT2tGVlZtMTVWMVZtZG1OdmVYVlpUMlZzZFVsbldWRRAB	Bismillah	2026-08-19 15:28:00	3	Netral	False	Non-Konteks & Spam	Komentar Acak / Spam	Komentar singkat berupa kata Bismillah tanpa memberikan ulasan produk atau pelayanan.	Irrelevant
Ci9DQUlRQUNvZENodHljRjlvT21FeWQxcDVkbmhIVWpoWFZqUTBXbGRuZFhWVGFHYxAB	"TERUNTUK SATPAM YANG ADA DI JALAN BARU, YANG JAGA PADA KAMIS, 23 JULI 2026 JAM 17:40 JANGAN TEBANFG PILIH KALO MAU IKUTIN PERATURAN, KALO GAK BISA DI LALUI YA GAK BISA SEMUA, JANGAN DI SESUAIKAN SAMA WARNA HELM!!!!
PERATURAN KO DILANGGAR SENDIRI KOCAK🤣 …"	2026-08-19 15:28:00	1	Sangat Negatif	True	Pelayanan & Sales	Keramahan & Respon Staf	Keluhan dan kemarahan konsumen terhadap sikap satpam yang dinilai tebang pilih dan tidak adil dalam menerapkan aturan.	Negative
Ci9DQUlRQUNvZENodHljRjlvT25aV1JHVXdlVWxrZVdWbU9XOXFSamQ1TlZsdlZtYxAB	Tempatnya strategis	2026-08-19 15:28:00	4	Positif	True	Purna Jual & Fasilitas	Kebersihan & Kenyamanan Showroom	Apresiasi singkat terhadap lokasi showroom yang strategis.	Positive
Ci9DQUlRQUNvZENodHljRjlvT2tzNFZ6SlRNWGd3VDBNM1NYTmlYemxqWkZaaVNuYxAB	Apakah Anda membutuhkan terjemahan bahasa Mandarin-Inggris?	2026-08-19 15:28:00	0	Tidak Relevan	False	Non-Konteks & Spam	Komentar Acak / Spam	Tawaran jasa penerjemah bahasa yang out of context dan tidak relevan dengan dealer mobil.	Irrelevant
Ci9DQUlRQUNvZENodHljRjlvT2xad2VVaDFOVlJFY2pocGJrNUxTVko1VGxkcGNWRRAB	Dukung proyek baru mobil listrik dari Vietnam	2026-08-19 15:28:00	4	Positif	True	Harga & Bisnis Perusahaan	Perizinan & Keberadaan Pabrik/Perusahaan	Memberikan dukungan positif pada proyek mobil listrik VinFast.	Positive
Ci9DQUlRQUNvZENodHljRjlvT25kNFlYVm1kbXRUU0hZNVVFcDVNemRtT0V0UlMyYxAB	Dukung Vinfast 😉 …	2026-08-19 15:28:00	4	Positif	True	Harga & Bisnis Perusahaan	Perizinan & Keberadaan Pabrik/Perusahaan	Pernyataan singkat berisi dukungan kepada VinFast.	Positive
Ci9DQUlRQUNvZENodHljRjlvT2xWbk5tSkdRa3RSWTBoMmEwVlRUVVpvY0hveE4yYxAB	VINFAST GO	2026-08-19 15:28:00	4	Positif	True	Harga & Bisnis Perusahaan	Perizinan & Keberadaan Pabrik/Perusahaan	Sorakan antusias dalam mendukung merek VinFast.	Positive
ChZDSUhNMG9nS0VJQ0FnSUR2aXZhSFpREAE	"Mobil listrik ternyaman
dan harganya oke banget nih
setelah test drive jadi langsung gak pake lama booking fee …"	2026-08-19 15:28:00	5	Sangat Positif	True	Pelayanan & Sales	Layanan Test Drive	Pengalaman test drive yang sangat memuaskan dari segi kenyamanan dan harga hingga konsumen langsung bayar booking fee.	Positive
Ci9DQUlRQUNvZENodHljRjlvT2t4dk1XUkZlRVIwZGxvMFRXUTNlbkZRU0RVNE9WRRAB	Pelayanan oke yaa, Terimakasih Ko Fandi dan Tim nya, mobil nya dari proses sampai penyerahan pelayanan nya oke banget, sukses selalu 👍 …	2026-08-19 15:28:00	5	Sangat Positif	True	Pelayanan & Sales	Keramahan & Respon Staf	Pujian atas pelayanan sales dan tim dari awal proses pembelian hingga penyerahan unit mobil.	Positive
ChZDSUhNMG9nS0VJQ0FnSUR2ejRuS0NnEAE	gile keren banget pelayanan terbaik dari dealer vinfast pantai indah kapuk, yang mau test drive bisa dateng ke sini pelayanan terbaik	2026-08-19 15:28:00	5	Sangat Positif	True	Pelayanan & Sales	Layanan Test Drive	Pujian terhadap pelayanan terbaik di dealer VinFast PIK dan rekomendasi untuk melakukan test drive.	Positive
ChZDSUhNMG9nS0VJQ0FnSUNmM3ZLTlZ3EAE	After sales nya top markotop👍🏻, saya sempat delay arrival tetap dilayani sepenuh hati sampai dengan selesai, sukses terus & jaga mutu pelayanannya yaa 🙏🏻 …	2026-08-19 15:28:00	5	Sangat Positif	True	Purna Jual & Fasilitas	Servis & Sparepart	Sangat puas dengan layanan purna jual dan kelapangan dada staf yang tetap melayani dengan baik walau pelanggan terlambat.	Positive
ChZDSUhNMG9nS0VQV3NsX0duaGZTUmVBEAE	"L 1218 PRM

BRAKE SENSOR AKTIF KETIKA JALAN !!!!!!! …"	2026-08-19 15:28:00	1	Sangat Negatif	True	Kualitas Produk & Performa	Masalah Teknis/Kerusakan	Keluhan terkait masalah teknis mendasar di mana sensor rem mendadak aktif saat kendaraan sedang melaju.	Negative
ChdDSUhNMG9nS0VJQ0FnSURmdVo2NzBRRRAB	"akhirnya keluar juga ni mobil listrik VF3 stir kanan lho denger"" di lounching d iims kemahoran februari 2025,
Terima kasih Vinfast Pantai Indah kapuk"	2026-08-19 15:28:00	5	Sangat Positif	True	Kualitas Produk & Performa	Desain & Fitur Mobil	Antusiasme dan respon positif menyambut peluncuran unit VF3 setir kanan di Indonesia.	Positive
ChZDSUhNMG9nS0VJQ0FnSUN2aVk3VVR3EAE	Pelayanan dari staff Dan para marketingnya disini sangat  baik..tetap dilayani dengan sabar walau baru sekedar cari2 informasi tentang Mobil listrik asal Vietnam ini..sangat memuaskan lah pelayanannya..	2026-08-19 15:28:00	5	Sangat Positif	True	Pelayanan & Sales	Keramahan & Respon Staf	Pujian terhadap kesabaran dan keramahan staf serta tim marketing melayani pertanyaan calon konsumen.	Positive
ChZDSUhNMG9nS0VJQ0FnSUN2aVpERkJnEAE	Terima kasih VinFast PIK , akhirnya mobil saya sampai juga , pelayanan terbaik , fast respon sampai delivery , thank you sekali lagi , yang mau beli mobil VinFast beli nya harus di VinFast PIK , saya jamin tidak akan mengecewakan	2026-08-19 15:28:00	5	Sangat Positif	True	Pelayanan & Sales	Proses Pembelian & Dokumen	Sangat puas dengan pelayanan yang cepat, komunikatif, dan responsif hingga mobil dikirimkan ke rumah.	Positive
ChZDSUhNMG9nS0VJQ0FnSUN2OGRlOVlnEAE	"Akhirnya sampai juga Mobil listrik harga terbaik dan sangat ekonomis, ada pilihan sewa battery juga , pelayanan memuaskan
Terima kasih Vinfast Pantai Indah Kapuk"	2026-08-19 15:28:00	5	Sangat Positif	True	Harga & Bisnis Perusahaan	Harga Mobil & Promo	Apresiasi atas harga mobil listrik yang ekonomis, ketersediaan skema sewa baterai, dan pelayanan yang memuaskan.	Positive
ChdDSUhNMG9nS0VJQ0FnSUN2enR1Q25BRRAB	Semua sales berpengetahuan baik tentang mobil listrik, sangat helpful, ada unit test drive VF5 dan VFE34 juga, saya dilayani dengan baik disini.	2026-08-19 15:28:00	5	Sangat Positif	True	Pelayanan & Sales	Pengetahuan Produk (Sales)	Pujian pada sales yang menguasai informasi produk mobil listrik dengan baik serta penyediaan unit test drive yang lengkap.	Positive
ChZDSUhNMG9nS0VJQ0FnSUNmeE5UQ0h3EAE	"Akhirnya mobil impian sudah mendarat aman di rumah, Terima Kasih VinFast PIk

Lokasi Strategis, Pelayanan Ramah dan informatif, terutama Ko Fandy …"	2026-08-19 15:28:00	5	Sangat Positif	True	Pelayanan & Sales	Keramahan & Respon Staf	Kepuasan pelanggan atas pelayanan yang ramah, informatif, lokasi strategis, dan kelancaran pengiriman unit mobil.	Positive
ChZDSUhNMG9nS0VJQ0FnSUNmeTZ2elV3EAE	"Test drive mobil listrik Vietnam Vinfast namanya, nyaman banget, bebas ganjil genap, akhinya pilih mobil listik vinfast, kenyamanan juga mantap banget
Terima Kasih Delaer Mobil listrik Vinfast Pantai Indah Kapuk PIK"	2026-08-19 15:28:00	5	Sangat Positif	True	Pelayanan & Sales	Layanan Test Drive	Pengalaman test drive yang sangat berkesan dan nyaman hingga memantapkan keputusan konsumen untuk membeli mobil.	Positive
ChdDSUhNMG9nS0VJQ0FnSURmbmJIcjNRRRAB	"Pelayanan Terbaik dari dealer Mobil Listrik Vinfast PIK Jakarta utara
habis test drive mobil listrik
langsung booooking gak pake lama
nayaman banget mobilnya"	2026-08-19 15:28:26	5	Sangat Positif	True	Pelayanan & Sales	Layanan Test Drive	Ulasan memuji pelayanan terbaik, pengalaman test drive yang nyaman, dan keputusan langsung melakukan booking.	Positive
ChZDSUhNMG9nS0VJQ0FnSUNfcUliOE13EAE	"Mantap ni setelah test drive di Vinfast Pantai Indah Kapuk
gak pake lama kita booking aja nich Vinfast VF5 dengan sistem sewa battery"	2026-08-19 15:28:26	5	Sangat Positif	True	Pelayanan & Sales	Layanan Test Drive	Pengguna merasa puas setelah melakukan test drive dan langsung melakukan booking unit VF5.	Positive
ChZDSUhNMG9nS0VJQ0FnSUNmZ09hUE53EAE	gak pake lama langsung booking Mobil listrik Vinfast di Vinfast PIK Pantai indah kapuk, harga mobil listriknya murah banget, pelayanan juga baik dari sales mobil vinfast nya	2026-08-19 15:28:26	5	Sangat Positif	True	Pelayanan & Sales	Keramahan & Respon Staf	Ulasan memberikan pujian pada pelayanan sales yang baik serta harga mobil yang sangat murah.	Positive
ChdDSUhNMG9nS0VJQ0FnSUN2enZ2US1RRRAB	Kemarin kesini, seluruh Staff dan salesnya baik hati, best experience with car dealer ever!	2026-08-19 15:28:26	5	Sangat Positif	True	Pelayanan & Sales	Keramahan & Respon Staf	Pengguna merasa seluruh staf dan sales sangat baik hati dan memberikan pengalaman dealer mobil terbaik.	Positive
ChdDSUhNMG9nS0VJQ0FnSUN2aWNiTGp3RRAB	"Akhirnya bisa punya vinfast vf5
mobil listrik paling mantap, edukasinya juga baik jadi bebas kwatir dech pakai mobil listrik
terima Kasih Vinfast PIK"	2026-08-19 15:28:26	5	Sangat Positif	True	Pelayanan & Sales	Pengetahuan Produk (Sales)	Pengguna puas dengan edukasi produk yang diberikan sales sehingga merasa aman dan bebas khawatir menggunakan mobil listrik.	Positive
ChdDSUhNMG9nS0VJQ0FnSUN2aWVqRnZRRRAB	Wah suprise bgt VINFAST PIK , beli mobil di kasih bonus air minum Cleo , mantap pelayanan terbaik !!!	2026-08-19 15:28:26	5	Sangat Positif	True	Pelayanan & Sales	Keramahan & Respon Staf	Pengguna mengapresiasi kejutan bonus dan memuji pelayanan terbaik dealer.	Positive
ChZDSUhNMG9nS0VJQ0FnSUNmeThQaGV3EAE	"Terima kasih Showroom Mobil Listrik pantai indah kapuk
mendarat sudah Vinfast VFe34 mobil listrik ternyaman dan harga ekonomis"	2026-08-19 15:28:26	5	Sangat Positif	True	Kualitas Produk & Performa	Desain & Fitur Mobil	Pengguna puas dengan kenyamanan mobil listrik VFe34 serta harganya yang ekonomis.	Positive
ChdDSUhNMG9nS0VJQ0FnSUR2cjRIWWpBRRAB	Terima kasih untuk dealer mobil listrik vinfast pantai indah kapuk pik jakarta utara, pelayanan terbaik	2026-08-19 15:28:26	5	Sangat Positif	True	Pelayanan & Sales	Keramahan & Respon Staf	Ungkapan terima kasih kepada dealer atas pelayanan terbaik yang diberikan.	Positive
Ci9DQUlRQUNvZENodHljRjlvT2sxVkxVSlBVbWR6TUU5dVFVcEVjVU5ZYlZSVVpGRRAB	Besar	2026-08-19 15:28:26	0	Tidak Relevan	False	Non-Konteks & Spam	Komentar Acak / Spam	Ulasan hanya terdiri dari satu kata tanpa konteks yang jelas terkait produk atau layanan.	Irrelevant
ChdDSUhNMG9nS0VJQ0FnSUR2OU5TRnNnRRAB	Dealernya bagus, nyaman, fast response. Unit ready, pelayanan sales baik.	2026-08-19 15:28:26	5	Sangat Positif	True	Purna Jual & Fasilitas	Kebersihan & Kenyamanan Showroom	Dealer dinilai bagus, nyaman, respons cepat, unit ready, serta pelayanan sales yang baik.	Positive
ChdDSUhNMG9nS0VJQ0FnSUN2N3NIVHRBRRAB	"keren banget mobilnya
harga mobil listrik paling ekonomis
terima kasih Vinfast PIK top markotop"	2026-08-19 15:28:26	5	Sangat Positif	True	Harga & Bisnis Perusahaan	Harga Mobil & Promo	Pujian terhadap kualitas mobil serta penawaran harga mobil listrik yang sangat ekonomis.	Positive
ChZDSUhNMG9nS0VJQ0FnSUN2cllUeVVBEAE	Recomend untuk yg lagi cari mobil listrik,, showroom nya bagus dan para. Seles nya ramah, thanks	2026-08-19 15:28:26	5	Sangat Positif	True	Pelayanan & Sales	Keramahan & Respon Staf	Rekomendasi positif untuk showroom yang bagus dan staf sales yang ramah.	Positive
ChdDSUhNMG9nS0VJQ0FnSUN2dnFPUG53RRAB	Terima kasih Vinfast Pantai Indah Kapuk akhirnya mobil listrik idaman sampai juga, mobil 218 jt ternyaman dan terbaik	2026-08-19 15:28:26	5	Sangat Positif	True	Kualitas Produk & Performa	Desain & Fitur Mobil	Pengguna senang mobil listrik idamannya telah sampai dan menilai mobil tersebut sangat nyaman.	Positive
ChdDSUhNMG9nS0VJQ0FnSUNmN3BfS3N3RRAB	Keren banget mobil listrik dari Vietnam, sukses selalu vinvast PIK pantai indah kapuk	2026-08-19 15:28:26	5	Sangat Positif	True	Kualitas Produk & Performa	Desain & Fitur Mobil	Pujian terhadap kualitas mobil listrik VinFast serta doa kesuksesan untuk showroom.	Positive
ChZDSUhNMG9nS0VJQ0FnSUR2djZqbkdnEAE	"Dealer Vinfast terbaik!
Bersih, nyaman, sales ramah👍🏻 …"	2026-08-19 15:28:26	5	Sangat Positif	True	Purna Jual & Fasilitas	Kebersihan & Kenyamanan Showroom	Dealer dinilai terbaik karena bersih, nyaman, dan salesnya sangat ramah.	Positive
ChZDSUhNMG9nS0VJQ0FnSUNmdE42WUxREAE	Showroom yang sangat terjamin , dari awal pembelian sampai penyerahan kendaraan nya semua ny berjalan dengan baik , and after sales nya bagus banget . Recommended banget showroom ny apalagi kepala cabang ny Bpk  Fandy  Yang look after ke customer ny samgat memuaskan .	2026-08-19 15:28:26	5	Sangat Positif	True	Pelayanan & Sales	Proses Pembelian & Dokumen	Proses dari awal pembelian, penyerahan unit, hingga layanan purna jual dinilai sangat memuaskan.	Positive
ChdDSUhNMG9nS0VMRFd2Yk9rMXFxazFBRRAB	Tertarik tp mau ty apakah Vinfast sudah kerja sama dengan PLN,? Infonya agar dapat harga promo saat pasang baru meteran listrik untuk wall charger	2026-08-19 15:28:26	3	Netral	True	Purna Jual & Fasilitas	Klaim Garansi & Stasiun Cas (Charging)	Pengguna menanyakan informasi mengenai kerja sama dengan PLN untuk pemasangan wall charger.	Irrelevant
ChZDSUhNMG9nS0VJQ0FnSUN2N283TlN3EAE	"akhirnya sampai juga mobil listrik vinfast harga 200 jutaaan
terima kasih Vinfast PIK"	2026-08-19 15:28:26	5	Sangat Positif	True	Harga & Bisnis Perusahaan	Harga Mobil & Promo	Pengguna merasa gembira dan berterima kasih atas penerimaan mobil listrik dengan harga terjangkau.	Positive
ChZDSUhNMG9nS0VJQ0FnSUN2dmZTTmRBEAE	"The Best banget Vinfast VFe34 Hijau, harga mobil listrik yang ekonomis, buat yang mau pesan bisa test drive juga di showroom Vinfast Pantai Indah Kapuk.
Terimakasih Koko & Cici yang sudah membantu saya dan Keluarga 🙏🏼 …"	2026-08-19 15:28:26	5	Sangat Positif	True	Pelayanan & Sales	Keramahan & Respon Staf	Pengguna memuji mobil, harga yang ekonomis, serta bantuan yang ramah dari staf showroom.	Positive
Ci9DQUlRQUNvZENodHljRjlvT2xGbGFWcFZaalJOVGtKQlJVYzRaRzkyUzJ0V1JIYxAB	Showroomnya oke banget, salesnya helpful dan ramah semua. Highly recomended deh pokoknya	2026-08-19 15:28:26	5	Sangat Positif	True	Pelayanan & Sales	Keramahan & Respon Staf	Showroom dinilai sangat oke dan para sales sangat membantu serta ramah.	Positive
ChZDSUhNMG9nS0VJQ0FnSUN2bnZMWWRREAE	"""Lokasi ok, tempatnya bersih dan cukup terawat dengan baik. mungkin next visit akan kesini lag"	2026-08-19 15:29:09	4	Positif	True	Purna Jual & Fasilitas	Kebersihan & Kenyamanan Showroom	Ulasan memuji lokasi yang strategis serta tempat yang bersih dan terawat dengan baik.	Positive
ChZDSUhNMG9nS0VJQ0FnSUR2cjRfU1NBEAE	Pelayanan cukup bagus sales nya sangat profesional menjelaskan tentang fitur mobil listrik dan subsidi battery mobil listrik nya. Sangat recommended ⚡😇 …	2026-08-19 15:29:09	5	Sangat Positif	True	Pelayanan & Sales	Pengetahuan Produk (Sales)	Ulasan memuji pelayanan sales yang profesional dalam menjelaskan fitur dan subsidi baterai mobil listrik.	Positive
ChZDSUhNMG9nS0VJQ0FnSUN2cnVxRURREAE	Untuk mobil EV affordable bisa jadi salah satu rekomendasi sih. Lalu penjelasan Salesnya mudah dipahami & pelayanannya top banget.	2026-08-19 15:29:09	5	Sangat Positif	True	Pelayanan & Sales	Pengetahuan Produk (Sales)	Ulasan mengapresiasi penjelasan sales yang mudah dipahami serta rekomendasi mobil EV yang terjangkau.	Positive
ChdDSUhNMG9nS0VJQ0FnTUNReGZlWndRRRAB	Pelayanannya ramah banget, tempatnya juga nyaman maju terus Vinfast PIK! semoga makin banyak yang belanja nih disini	2026-08-19 15:29:09	5	Sangat Positif	True	Pelayanan & Sales	Keramahan & Respon Staf	Ulasan memuji keramahan staf dan kenyamanan showroom VinFast PIK.	Positive
ChZDSUhNMG9nS0VJQ0FnSUR2ejdtbUxnEAE	Dealer Vinfast di Pantai Indah Kapuk dengan service yang bagus dari Team Sales sampai dengan Kepala Cabangnya. Responsif, nice attitude, nice product dan recommend untuk pembelian unit Vinfast	2026-08-19 15:29:09	5	Sangat Positif	True	Pelayanan & Sales	Keramahan & Respon Staf	Ulasan mengapresiasi pelayanan responsif dan sikap baik dari sales hingga Kepala Cabang VinFast PIK.	Positive
ChdDSUhNMG9nS0VJQ0FnSUN2N3AyeXF3RRAB	Pelayanan dari salesman sangat membantu saya memberikan gambaran dari unit yg saya inginkan, penjelasannya detail dan sangat ramah. Terimakasih	2026-08-19 15:29:09	5	Sangat Positif	True	Pelayanan & Sales	Pengetahuan Produk (Sales)	Ulasan memuji kejelasan detail penjelasan dan keramahan dari salesman.	Positive
ChZDSUhNMG9nS0VJQ0FnSURmdllYX0t3EAE	"Showroom Vinfast PIK  Oks banget deh pelayanannya & ramah-ramah. Ngga nyesel deh + dapet bonusnya juga. Hehehe...
Vinfast semakin Sukses..."	2026-08-19 15:29:09	5	Sangat Positif	True	Pelayanan & Sales	Keramahan & Respon Staf	Ulasan merasa sangat puas dengan pelayanan yang ramah serta bonus yang didapatkan.	Positive
ChdDSUhNMG9nS0VJQ0FnSUN2aWIzY3BRRRAB	Showroom mobil vinfast yg paling lengkap dan sangat ramah untuk semua sales marketingnya, mempermudah dalam segala hal	2026-08-19 15:29:09	5	Sangat Positif	True	Pelayanan & Sales	Keramahan & Respon Staf	Ulasan memuji kelengkapan unit showroom dan kemudahan pelayanan oleh tim sales marketing.	Positive
